,Con,Sus,Res
1,95.4819,98.3193,280.8797
2,118.2763,96.7783,259.8121
3,160.2195,89.7443,228.0149
4,163.8755,87.0141,226.7314
5,168.9605,86.3093,196.4217
6,171.3402,82.3828,192.4359
7,176.1524,74.7535,190.7477
8,183.2734,73.2415,187.6793
9,186.878,72.9318,184.7008
10,200.0833,72.8791,183.5012
11,206.5863,62.0177,172.3747
12,219.5389,59.4053,172.0346
13,258.7354,56.843,170.201
14,288.2618,56.7594,166.618
15,158.7141,56.2576,162.9681
16,141.7455,86.1358,161.6153
17,120.5067,54.5298,157.6794
18,86.5,61.8094,151.5537
19,188.811,47.9136,150.1463
20,81.826,45.538,149.9914
21,151.7026,41.0665,147.4296
22,250.663,40.4835,140.1689
23,181.2831,39.5484,140.058
24,20.6768,35.0876,139.1987
25,86.01767,33.7733,137.5308
26,128.51,25.2104,135.1234
27,100.3741,13.1864,100.2406
28,135.5158,7.7988,103.3888
29,76.1416,82.262,133.3054
30,68.58534,31.3,113.2786
31,,39.636,101.292
32,,46.715,123.3884
33,,81.086,121.996
34,,49.70978,117.949
35,,31.26979,111.9609
36,,67.869,109.4584
37,,62.169,106.2371
38,,,101.0065