Supplementary table 7. The lists for statistical values in the study.,,,,,,
,Column Factor,0.7616,1,0.7616,"F (1, 9) = 5.103",P=0.0503
,Row Factor x Column Factor,0.3908,2,0.1954,"F (2, 18) = 1.295",P=0.2983
,Subject x Row Factor,7.851,18,0.4362,,
,Subject x Column Factor,1.343,9,0.1492,,
,Subject,39.67,9,4.408,,
,Residual,2.717,18,0.1509,,
, ,,,,,
,Difference between column means,,,,,
,    Mean of L,7.278,,,,
,    Mean of LnL,7.053,,,,
,    Difference between means,0.2253,,,,
,    SE of difference,0.09975,,,,
,    95% CI of difference,-0.0003153 to 0.4510,,,,
  Supplementary Fig.12c,Unpaired t test with Welch’s correction,,,,,
,P value,0.7905,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.2757, df=7.241",,,,
  Supplementary Fig.12d,LAP/LIP ratio,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.012,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.413, df=6.720",,,,
, ,,,,,
,DRP1/Tubulin (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=6.127, df=9.002",,,,
  Supplementary Fig.12e,Unpaired t test with Welch’s correction,,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=6.457, df=8.226",,,,
  Supplementary Fig.12f,Social interaction ratio,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0091,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.977, df=15.57",,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.5986,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.5377, df=15.08",,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0035,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.353, df=18.38",,,,
, ,,,,,
  Supplementary Fig.12g,Sucrose preference (%) in pre-stress,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.5168,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.6608, df=18.80",,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.027,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.401, df=18.53",,,,
  Supplementary Fig.13c,ANOVA summary,,,,,
,F,0.2892,,,,
,P value,0.7539,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.04598,,,,
  Supplementary Fig.13d,hC/EBPβ (LAP)/Tubulin (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.3883,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.9155, df=7.525",,,,
, ,,,,,
,mC/EBPβ (LAP)/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,1.016,,,,
,P value,0.3912,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.1448,,,,
  Supplementary Fig.13e,ANOVA summary,,,,,
,F,6.253,,,,
,P value,0.0106,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4547,,,,
  Supplementary Fig.13f,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,4.542,,,,
,P value,0.0199,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2517,,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.4326,,,,
,P value,0.6532,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.03105,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,7.294,,,,
,P value,0.0029,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3508,,,,
, ,,,,,
  Supplementary Fig.13g,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,0.5823,,,,
,P value,0.5654,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.04135,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,4.619,,,,
,P value,0.0188,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2549,,,,
  Supplementary Fig.14a,mPFC LAP/LIP ratio,,,,,
,ANOVA summary,,,,,
,F,105.3,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9405,,,,
, ,,,,,
,mPFC DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,70.39,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9135,,,,
, ,,,,,
  Supplementary Fig.14b,ANOVA summary,,,,,
,F,109.2,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9646,,,,
  Supplementary Fig.14c,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.422,,,,
,P value,0.738,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02422,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,8.406,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3309,,,,
, ,,,,,
  Supplementary Fig.14d,ANOVA table,SS,DF,MS,"F (DFn, DFd)",P value
,Row Factor,400.8,2,200.4,"F (2, 18) = 1143",P<0.0001
,Column Factor,0.203,1,0.203,"F (1, 9) = 2.117",P=0.1796
,Row Factor x Column Factor,1.208,2,0.6039,"F (2, 18) = 7.461",P=0.0044
,Subject x Row Factor,3.155,18,0.1753,,
,Subject x Column Factor,0.8629,9,0.09588,,
,Subject,27.08,9,3.009,,
,Residual,1.457,18,0.08094,,
,,,,,,
,Difference between column means,,,,,
,    Mean of Vehicle,7.14,,,,
,    Mean of CNO,7.257,,,,
,    Difference between means,-0.1163,,,,
,    SE of difference,0.07995,,,,
,    95% CI of difference,-0.2972 to 0.06452,,,,
  Supplementary Fig.15d,ANOVA summary,,,,,
,F,0.3452,,,,
,P value,0.7144,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.05042,,,,
  Supplementary Fig.15e,ANOVA summary,,,,,
,F,0.9849,,,,
,P value,0.4017,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.141,,,,
  Supplementary Fig.15f,ANOVA summary,,,,,
,F,20.59,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.733,,,,
  Supplementary Fig.15g,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,6.844,,,,
,P value,0.0037,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3206,,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.8349,,,,
,P value,0.4441,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.05445,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,4.839,,,,
,P value,0.0154,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2502,,,,
, ,,,,,
  Supplementary Fig.15h,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,1.068,,,,
,P value,0.3567,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.06862,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,7.395,,,,
,P value,0.0025,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3378,,,,
  Supplementary Fig.16c,Unpaired t test with Welch’s correction,,,,,
,P value,0.7039,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.4011, df=5.333",,,,
  Supplementary Fig.16d,Unpaired t test with Welch’s correction,,,,,
,P value,0.0126,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.212, df=7.889",,,,
  Supplementary Fig.16e,Unpaired t test with Welch’s correction,,,,,
,P value,0.0007,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=6.326, df=6.086",,,,
  Supplementary Fig.16f,Social interaction ratio,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.021,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.517, df=19.00",,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.6232,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.4998, df=18.23",,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.1122,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.668, df=18.44",,,,
  Supplementary Fig.16g,Sucrose preference (%) in pre-stress,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.524,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.6475, df=21.99",,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0264,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.421, df=17.84",,,,
, ,,,,,
  Supplementary Fig.17a,Blood,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.2124,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.307, df=14.00",,,,
,,,,,,
,Hippocampus,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.1545,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.513, df=12.81",,,,
, ,,,,,
  Supplementary Fig.17b,Blood,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.3073,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.070, df=11.21",,,,
, ,,,,,
,Hippocampus,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.2556,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.196, df=11.64",,,,
  Supplementary Fig.17e,Relative Igf1 mRNA level in NeuN+ cells,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.3899,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.8910, df=12.44",,,,
, ,,,,,
,Relative Igf1 mRNA level in NeuN- cells,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.921, df=11.00",,,,
, ,,,,,
  Supplementary Fig.17f,Relative Igf1 mRNA level in NeuN+ cells,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.4965,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.6939, df=18.25",,,,
,,,,,,
,Relative Igf1 mRNA level in NeuN- cells,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.767, df=19.07",,,,
, ,,,,,
  Supplementary Fig.17g,Relative Igf1 mRNA level in microglia of L and LnL model,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.989, df=8.593",,,,
, ,,,,,
,Relative Igf1 mRNA level in microglia of decreased maternal behaviors model,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0311,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.476, df=10.80",,,,
  Supplementary Fig.17h,PND 21,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0274,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.410, df=2.162",,,,
, ,,,,,
,PND 28,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0017,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=8.489, df=3.590",,,,
, ,,,,,
,PND 60,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.1473,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.823, df=3.745",,,,
  Supplementary Fig.17i,PND 21,,,,,
,ANOVA summary,,,,,
,F,34.9,,,,
,P value,0.0005,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9208,,,,
, ,,,,,
,PND 28,,,,,
,ANOVA summary,,,,,
,F,21.72,,,,
,P value,0.0018,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8786,,,,
, ,,,,,
,PND 60,,,,,
,ANOVA summary,,,,,
,F,5.763,,,,
,P value,0.0401,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6576,,,,
  Supplementary Fig.18c,ANOVA summary,,,,,
,F,13.34,,,,
,P value,0.0004,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7693,,,,
  Supplementary Fig.18d,ANOVA summary,,,,,
,F,21.79,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8034,,,,
  Supplementary Fig.18e,ANOVA summary,,,,,
,F,12.33,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6492,,,,
  Supplementary Fig.18f,ANOVA summary,,,,,
,F,33.25,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.833,,,,
  Supplementary Fig.18g,Mitochondrial membrane potential,,,,,
,ANOVA summary,,,,,
,F,30.36,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8199,,,,
, ,,,,,
,Mitochondrial ATP levels,,,,,
,ANOVA summary,,,,,
,F,10.7,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6162,,,,
  Supplementary Fig.18h,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,8.995,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4575,,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.5245,,,,
,P value,0.6686,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.04686,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,4.135,,,,
,P value,0.0138,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2794,,,,
  Supplementary Fig.18i,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,1.08,,,,
,P value,0.3714,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.09196,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,6.639,,,,
,P value,0.0013,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3836,,,,
, ,,,,,
  Supplementary Fig.19c,ANOVA summary,,,,,
,F,9.319,,,,
,P value,0.0036,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6083,,,,
  Supplementary Fig.19d,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.4372,,,,
,P value,0.6495,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02581,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,30.48,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6488,,,,
, ,,,,,
  Supplementary Fig.19g,ANOVA summary,,,,,
,F,15.65,,,,
,P value,0.0012,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7767,,,,
  Supplementary Fig.19h,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.09325,,,,
,P value,0.9113,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.007405,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,9.135,,,,
,P value,0.0011,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4222,,,,
, ,,,,,
, ,,,,,